game_id,difficulty,opponent,ai_starts,result,moves,timestamp
0,1,random,1,-1,6,1758140490
1,1,random,0,-1,7,1758140490
2,1,random,1,1,7,1758140490
3,1,random,0,1,8,1758140490
4,1,random,1,1,7,1758140490
5,1,random,0,-1,7,1758140490
6,1,random,1,1,5,1758140490
7,1,random,0,-1,5,1758140490
8,1,random,1,1,7,1758140490
9,1,random,0,-1,9,1758140490
10,1,random,1,1,7,1758140490
11,1,random,0,0,9,1758140490
12,1,random,1,1,7,1758140490
13,1,random,0,1,6,1758140490
14,1,random,1,-1,6,1758140490
15,1,random,0,1,6,1758140490
16,1,random,1,1,5,1758140490
17,1,random,0,-1,7,1758140490
18,1,random,1,1,5,1758140490
19,1,random,0,1,6,1758140490
20,1,random,1,0,9,1758140490
21,1,random,0,-1,5,1758140490
22,1,random,1,1,7,1758140490
23,1,random,0,1,8,1758140490
24,1,random,1,1,5,1758140490
25,1,random,0,1,8,1758140490
26,1,random,1,1,9,1758140490
27,1,random,0,0,9,1758140490
28,1,random,1,1,7,1758140490
29,1,random,0,1,8,1758140490
30,1,random,1,1,5,1758140490
31,1,random,0,-1,7,1758140490
32,1,random,1,1,5,1758140490
33,1,random,0,-1,7,1758140490
34,1,random,1,1,9,1758140490
35,1,random,0,-1,9,1758140490
36,1,random,1,1,7,1758140490
37,1,random,0,-1,7,1758140490
38,1,random,1,-1,8,1758140490
39,1,random,0,-1,9,1758140490
40,1,random,1,-1,8,1758140490
41,1,random,0,1,8,1758140490
42,1,random,1,-1,8,1758140490
43,1,random,0,1,6,1758140490
44,1,random,1,-1,6,1758140490
45,1,random,0,0,9,1758140490
46,1,random,1,1,7,1758140490
47,1,random,0,-1,9,1758140490
48,1,random,1,1,7,1758140490
49,1,random,0,1,8,1758140490
50,1,random,1,1,5,1758140490
51,1,random,0,1,8,1758140490
52,1,random,1,-1,8,1758140490
53,1,random,0,1,8,1758140490
54,1,random,1,1,7,1758140490
55,1,random,0,1,6,1758140490
56,1,random,1,0,9,1758140490
57,1,random,0,0,9,1758140490
58,1,random,1,1,5,1758140490
59,1,random,0,1,8,1758140490
60,1,random,1,-1,8,1758140490
61,1,random,0,0,9,1758140490
62,1,random,1,1,7,1758140490
63,1,random,0,0,9,1758140490
64,1,random,1,1,7,1758140490
65,1,random,0,0,9,1758140490
66,1,random,1,1,5,1758140490
67,1,random,0,1,8,1758140490
68,1,random,1,1,9,1758140490
69,1,random,0,-1,7,1758140490
70,1,random,1,-1,6,1758140490
71,1,random,0,-1,7,1758140490
72,1,random,1,-1,6,1758140490
73,1,random,0,-1,9,1758140490
74,1,random,1,1,5,1758140490
75,1,random,0,-1,9,1758140490
76,1,random,1,1,7,1758140490
77,1,random,0,-1,7,1758140490
78,1,random,1,0,9,1758140490
79,1,random,0,-1,7,1758140490
80,1,random,1,-1,8,1758140490
81,1,random,0,1,8,1758140490
82,1,random,1,1,7,1758140490
83,1,random,0,-1,9,1758140490
84,1,random,1,1,7,1758140490
85,1,random,0,-1,5,1758140490
86,1,random,1,1,5,1758140490
87,1,random,0,-1,9,1758140490
88,1,random,1,-1,6,1758140490
89,1,random,0,1,6,1758140490
90,1,random,1,1,5,1758140490
91,1,random,0,1,8,1758140490
92,1,random,1,1,5,1758140490
93,1,random,0,1,6,1758140490
94,1,random,1,1,5,1758140490
95,1,random,0,-1,7,1758140490
96,1,random,1,1,5,1758140490
97,1,random,0,-1,9,1758140490
98,1,random,1,-1,8,1758140490
99,1,random,0,1,6,1758140490
100,1,random,1,-1,6,1758140490
101,1,random,0,-1,5,1758140490
102,1,random,1,1,5,1758140490
103,1,random,0,1,8,1758140490
104,1,random,1,-1,8,1758140490
105,1,random,0,0,9,1758140490
106,1,random,1,1,9,1758140490
107,1,random,0,0,9,1758140490
108,1,random,1,-1,6,1758140490
109,1,random,0,1,8,1758140490
110,1,random,1,1,9,1758140490
111,1,random,0,1,6,1758140490
112,1,random,1,1,5,1758140490
113,1,random,0,-1,9,1758140490
114,1,random,1,1,7,1758140490
115,1,random,0,1,8,1758140490
116,1,random,1,1,7,1758140490
117,1,random,0,-1,9,1758140490
118,1,random,1,0,9,1758140490
119,1,random,0,-1,7,1758140490
120,1,random,1,1,7,1758140490
121,1,random,0,1,8,1758140490
122,1,random,1,1,7,1758140490
123,1,random,0,0,9,1758140490
124,1,random,1,-1,6,1758140490
125,1,random,0,-1,7,1758140490
126,1,random,1,0,9,1758140490
127,1,random,0,-1,9,1758140490
128,1,random,1,1,9,1758140490
129,1,random,0,-1,9,1758140490
130,1,random,1,1,7,1758140490
131,1,random,0,0,9,1758140490
132,1,random,1,1,7,1758140490
133,1,random,0,-1,7,1758140490
134,1,random,1,1,5,1758140490
135,1,random,0,0,9,1758140490
136,1,random,1,1,5,1758140490
137,1,random,0,1,6,1758140490
138,1,random,1,1,9,1758140490
139,1,random,0,1,6,1758140490
140,1,random,1,0,9,1758140490
141,1,random,0,-1,9,1758140490
142,1,random,1,1,7,1758140490
143,1,random,0,-1,7,1758140490
144,1,random,1,0,9,1758140490
145,1,random,0,-1,7,1758140490
146,1,random,1,1,7,1758140490
147,1,random,0,-1,9,1758140490
148,1,random,1,-1,8,1758140490
149,1,random,0,1,6,1758140490
150,1,random,1,1,9,1758140490
151,1,random,0,-1,7,1758140490
152,1,random,1,1,5,1758140490
153,1,random,0,0,9,1758140490
154,1,random,1,1,7,1758140490
155,1,random,0,-1,9,1758140490
156,1,random,1,1,5,1758140490
157,1,random,0,-1,9,1758140490
158,1,random,1,1,5,1758140490
159,1,random,0,1,6,1758140490
160,1,random,1,1,5,1758140490
161,1,random,0,-1,7,1758140490
162,1,random,1,-1,8,1758140490
163,1,random,0,1,8,1758140490
164,1,random,1,0,9,1758140490
165,1,random,0,-1,7,1758140490
166,1,random,1,-1,8,1758140490
167,1,random,0,1,8,1758140490
168,1,random,1,1,5,1758140490
169,1,random,0,-1,9,1758140490
170,1,random,1,1,9,1758140490
171,1,random,0,-1,7,1758140490
172,1,random,1,-1,8,1758140490
173,1,random,0,1,8,1758140490
174,1,random,1,-1,8,1758140490
175,1,random,0,-1,9,1758140490
176,1,random,1,1,7,1758140490
177,1,random,0,-1,7,1758140490
178,1,random,1,1,9,1758140490
179,1,random,0,1,6,1758140490
180,1,random,1,1,5,1758140490
181,1,random,0,1,6,1758140490
182,1,random,1,-1,8,1758140490
183,1,random,0,1,6,1758140490
184,1,random,1,1,7,1758140490
185,1,random,0,-1,9,1758140490
186,1,random,1,1,7,1758140490
187,1,random,0,-1,5,1758140490
188,1,random,1,1,7,1758140490
189,1,random,0,-1,9,1758140490
190,1,random,1,1,7,1758140490
191,1,random,0,-1,9,1758140490
192,1,random,1,1,7,1758140490
193,1,random,0,-1,7,1758140490
194,1,random,1,1,7,1758140490
195,1,random,0,-1,9,1758140490
196,1,random,1,1,7,1758140490
197,1,random,0,1,6,1758140490
198,1,random,1,0,9,1758140490
199,1,random,0,-1,7,1758140490
200,2,random,1,1,5,1758140490
201,2,random,0,1,6,1758140490
202,2,random,1,1,5,1758140490
203,2,random,0,1,6,1758140490
204,2,random,1,1,5,1758140490
